node,internal_node,type,label
10000,0,D,BODY_PANEL_EXT
10001,1,D,BODY_PANEL_EXT
10002,2,D,BODY_PANEL_EXT
10003,3,D,BODY_PANEL_EXT
10100,4,D,BODY_PANEL_INT
10101,5,D,BODY_PANEL_INT
10102,6,D,BODY_PANEL_INT
10103,7,D,BODY_PANEL_INT
10200,8,D,BODY_PANEL_EXT
10201,9,D,BODY_PANEL_EXT
10202,10,D,BODY_PANEL_EXT
10203,11,D,BODY_PANEL_EXT
10300,12,D,BODY_PANEL_INT
10301,13,D,BODY_PANEL_INT
10302,14,D,BODY_PANEL_INT
10303,15,D,BODY_PANEL_INT
10400,16,D,BODY_PANEL_EXT
10401,17,D,BODY_PANEL_EXT
10402,18,D,BODY_PANEL_EXT
10403,19,D,BODY_PANEL_EXT
10500,20,D,BODY_PANEL_INT
10501,21,D,BODY_PANEL_INT
10502,22,D,BODY_PANEL_INT
10503,23,D,BODY_PANEL_INT
10600,24,D,BODY_PANEL_EXT
10601,25,D,BODY_PANEL_EXT
10602,26,D,BODY_PANEL_EXT
10603,27,D,BODY_PANEL_EXT
10700,28,D,BODY_PANEL_INT
10701,29,D,BODY_PANEL_INT
10702,30,D,BODY_PANEL_INT
10703,31,D,BODY_PANEL_INT
10800,32,D,BODY_PANEL_EXT
10801,33,D,BODY_PANEL_EXT
10802,34,D,BODY_PANEL_EXT
10803,35,D,BODY_PANEL_EXT
10900,36,D,BODY_PANEL_INT
10901,37,D,BODY_PANEL_INT
10902,38,D,BODY_PANEL_INT
10903,39,D,BODY_PANEL_INT
11000,40,D,BODY_PANEL_EXT
11001,41,D,BODY_PANEL_EXT
11002,42,D,BODY_PANEL_EXT
11003,43,D,BODY_PANEL_EXT
11100,44,D,BODY_PANEL_INT
11101,45,D,BODY_PANEL_INT
11102,46,D,BODY_PANEL_INT
11103,47,D,BODY_PANEL_INT
12000,48,D,body_plate_inf
12001,49,D,body_plate_inf
12002,50,D,body_plate_inf
12003,51,D,body_plate_inf
12100,52,D,body_plate_inf
12101,53,D,body_plate_inf
12102,54,D,body_plate_inf
12103,55,D,body_plate_inf
12600,56,D,body_plate_med
12601,57,D,body_plate_med
12602,58,D,body_plate_med
12603,59,D,body_plate_med
12700,60,D,body_plate_med
12701,61,D,body_plate_med
12702,62,D,body_plate_med
12703,63,D,body_plate_med
13100,64,D,body_plate_sup
13101,65,D,body_plate_sup
13102,66,D,body_plate_sup
13103,67,D,body_plate_sup
13200,68,D,body_plate_sup
13201,69,D,body_plate_sup
13202,70,D,body_plate_sup
13203,71,D,body_plate_sup
30000,72,D,battery_pack
30001,73,D,battery_pack
30002,74,D,battery_pack
30003,75,D,battery_pack
30004,76,D,battery_pack
30005,77,D,battery_pack
30006,78,D,battery_pack
30007,79,D,battery_pack
30008,80,D,battery_pack
30009,81,D,battery_pack
30010,82,D,battery_pack
30011,83,D,battery_pack
30012,84,D,battery_pack
30013,85,D,battery_pack
30014,86,D,battery_pack
30015,87,D,battery_pack
30016,88,D,battery_pack
30017,89,D,battery_pack
30018,90,D,battery_pack
30019,91,D,battery_pack
30020,92,D,battery_pack
30021,93,D,battery_pack
30022,94,D,battery_pack
30023,95,D,battery_pack
30100,96,D,battery_pack
30101,97,D,battery_pack
30102,98,D,battery_pack
30103,99,D,battery_pack
30104,100,D,battery_pack
30105,101,D,battery_pack
30106,102,D,battery_pack
30107,103,D,battery_pack
30108,104,D,battery_pack
30109,105,D,battery_pack
30110,106,D,battery_pack
30111,107,D,battery_pack
30112,108,D,battery_pack
30113,109,D,battery_pack
30114,110,D,battery_pack
30115,111,D,battery_pack
30116,112,D,battery_pack
30117,113,D,battery_pack
30118,114,D,battery_pack
30119,115,D,battery_pack
30120,116,D,battery_pack
30121,117,D,battery_pack
30122,118,D,battery_pack
30123,119,D,battery_pack
31000,120,D,obc_box
31001,121,D,obc_box
31002,122,D,obc_box
31003,123,D,obc_box
31004,124,D,obc_box
31005,125,D,obc_box
31100,126,D,obc_box
31101,127,D,obc_box
31102,128,D,obc_box
31103,129,D,obc_box
31104,130,D,obc_box
31105,131,D,obc_box
32000,132,D,comms_box
32001,133,D,comms_box
32002,134,D,comms_box
32003,135,D,comms_box
32004,136,D,comms_box
32005,137,D,comms_box
32100,138,D,comms_box
32101,139,D,comms_box
32102,140,D,comms_box
32103,141,D,comms_box
32104,142,D,comms_box
32105,143,D,comms_box
33000,144,D,STR_AV_RAD
33001,145,D,STR_AV_RAD
33002,146,D,STR_AV_RAD
33003,147,D,STR_AV_RAD
33004,148,D,STR_AV_RAD
33005,149,D,STR_AV_RAD
33006,150,D,STR_AV_RAD
33007,151,D,STR_AV_RAD
33008,152,D,STR_AV_RAD
33100,153,D,radiator
33101,154,D,radiator
33102,155,D,radiator
33103,156,D,radiator
33104,157,D,radiator
33105,158,D,radiator
33106,159,D,radiator
33107,160,D,radiator
33108,161,D,radiator
34000,162,D,adcs_unit
34001,163,D,adcs_unit
34002,164,D,adcs_unit
34003,165,D,adcs_unit
34004,166,D,adcs_unit
34005,167,D,adcs_unit
34100,168,D,adcs_unit
34101,169,D,adcs_unit
34102,170,D,adcs_unit
34103,171,D,adcs_unit
34104,172,D,adcs_unit
34105,173,D,adcs_unit
40000,174,D,camera_base
40001,175,D,camera_base
40002,176,D,camera_base
40003,177,D,camera_base
40004,178,D,camera_base
40005,179,D,camera_base
40006,180,D,camera_base
40007,181,D,camera_base
40008,182,D,camera_base
40009,183,D,camera_base
40100,184,D,camera_base
40101,185,D,camera_base
40102,186,D,camera_base
40103,187,D,camera_base
40104,188,D,camera_base
40105,189,D,camera_base
40106,190,D,camera_base
40107,191,D,camera_base
40108,192,D,camera_base
40109,193,D,camera_base
40500,194,D,camera_electronics
40501,195,D,camera_electronics
40502,196,D,camera_electronics
40503,197,D,camera_electronics
40504,198,D,camera_electronics
40505,199,D,camera_electronics
40600,200,D,camera_electronics
40601,201,D,camera_electronics
40602,202,D,camera_electronics
40603,203,D,camera_electronics
40604,204,D,camera_electronics
40605,205,D,camera_electronics
41500,206,D,camera_lens
41600,207,D,camera_lens
42500,208,D,camera_cyl
42600,209,D,camera_cyl
50000,210,D,MLI_EXT
50001,211,D,MLI_EXT
50002,212,D,MLI_EXT
50003,213,D,MLI_EXT
50100,214,D,MLI_INT
50101,215,D,MLI_INT
50102,216,D,MLI_INT
50103,217,D,MLI_INT
50200,218,D,MLI_EXT
50201,219,D,MLI_EXT
50202,220,D,MLI_EXT
50203,221,D,MLI_EXT
50300,222,D,MLI_INT
50301,223,D,MLI_INT
50302,224,D,MLI_INT
50303,225,D,MLI_INT
50400,226,D,MLI_EXT
50401,227,D,MLI_EXT
50402,228,D,MLI_EXT
50403,229,D,MLI_EXT
50500,230,D,MLI_INT
50501,231,D,MLI_INT
50502,232,D,MLI_INT
