,OBC_BOX-BODY,OBC_BOX-RADIATOR,OBC_BOX-BODY_PLATE_MED,OBC_BOX-BODY_PANEL,OBC_BOX-BODY_PLATE_SUP,OBC_BOX-Space,OBC_BOX-BODY_PLATE_INF
ΔT [°C],7.711297495711224,20.805972923970604,2.405813566977672,7.711297495711224,2.9453821327045997,283.7449867217609,6.008376498717043
time [s],6050.2470703125,3388.138427734375,3388.138427734375,6050.2470703125,1512.5617980957031,2238.5914611816406,1875.5766296386719
T_hot [°C],12.866460995943811,13.439570595439456,13.70470684550298,12.866460995943811,13.672297343698554,13.744986721760897,18.177218597178037
T_cold [°C],5.155163500232587,-7.366402328531149,11.298893278525307,5.155163500232587,10.726915210993955,-270.0,12.168842098460994
Hot node,31014.0,31023.0,12602.0,31014.0,31022.0,31022.0,12000.0
Cold node,11102.0,35506.0,31011.0,11102.0,13603.0,99999.0,31008.0
Hot label,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLM,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_AV_OBC_EXT,STR_BOD_PLI
Cold label,STR_BOD_P_INT,STR_AV_RAD_INT,STR_AV_OBC_EXT,STR_BOD_P_INT,STR_BOD_PLS,ENVIRONMENT,STR_AV_OBC_EXT
Node pair,31014 - 11102,31023 - 35506,31011 - 12602,31014 - 11102,31022 - 13603,31022 - 99999,31008 - 12000
Coupling,"GL, GR","GL, GR","GL, GR",GR,GR,GR,GR
