elapsedTime,Q_GL [W],Q_GR [W],Q_GT [W]
0,0.50384263,-0.015412156,0.48843048
60.502472,0.52338258,-0.0140145,0.50936808
121.00494,0.54193336,-0.012708584,0.52922477
181.50742,0.55959869,-0.011485294,0.5481134
242.00989,0.57642704,-0.010337342,0.5660897
302.51236,0.59278805,-0.0092636195,0.58352443
363.01483,0.60767042,-0.0082622804,0.59940814
423.5173,0.62136879,-0.0073275264,0.61404126
484.01978,0.63511429,-0.0065030942,0.6286112
544.52225,0.64805353,-0.0059150811,0.64213845
605.02472,0.65686936,-0.0053975092,0.65147185
665.52719,0.66361052,-0.0049253456,0.65868518
726.02966,0.66930549,-0.0044850132,0.66482048
786.53214,0.6744712,-0.0040688521,0.67040235
847.03461,0.67942522,-0.0036714871,0.67575374
907.53708,0.68436181,-0.0032886942,0.68107311
968.03955,0.68936072,-0.0029178016,0.68644292
1028.542,0.69444594,-0.0025570246,0.69188891
1089.0445,0.69956831,-0.0022056848,0.69736263
1149.547,0.70464367,-0.0018641404,0.70277953
1210.0494,0.70963676,-0.0015322997,0.70810446
1270.5519,0.71453625,-0.001209819,0.71332643
1331.0544,0.71934657,-0.00089617501,0.7184504
1391.5569,0.72409371,-0.00059048756,0.72350323
1452.0593,0.72880793,-0.0002917661,0.72851616
1512.5618,0.73351271,8.9469262e-07,0.7335136
1573.0643,0.73822011,0.00028822245,0.73850833
1633.5667,0.74293045,0.00057073113,0.74350118
1694.0692,0.74764211,0.00084884218,0.74849095
1754.5717,0.75235256,0.0011229073,0.75347547
1815.0742,0.75705909,0.0013932199,0.75845231
1875.5766,0.76176233,0.0016600906,0.76342242
1936.0791,0.7664572,0.0019236985,0.7683809
1996.5816,0.77113465,0.0021840969,0.77331875
2057.084,0.77578606,0.0024412952,0.77822736
2117.5865,0.78040272,0.002695248,0.78309797
2178.089,0.78497125,0.0029457637,0.78791701
2238.5915,0.78947766,0.0031925977,0.79267026
2299.0939,0.79391256,0.0034355484,0.79734811
2359.5964,0.7982829,0.0036746822,0.80195758
2420.0989,0.80261637,0.0039104934,0.80652687
2480.6013,0.80694522,0.0041436496,0.81108887
2541.1038,0.68113692,0.0016967129,0.68283363
2601.6063,0.33366808,-0.0099225399,0.32374554
2662.1088,0.13039517,-0.020250541,0.11014463
2722.6112,-0.083053738,-0.03111592,-0.11416966
2783.1137,-0.29759926,-0.042261411,-0.33986067
2843.6162,-0.48177455,-0.051913127,-0.53368767
2904.1187,-0.64688514,-0.061060555,-0.70794569
2964.6211,-0.79811569,-0.06977209,-0.86788778
3025.1236,-0.9365559,-0.077979805,-1.0145357
3085.6261,-1.0625688,-0.085635327,-1.1482041
3146.1285,-1.1782189,-0.09260703,-1.270826
3206.631,-1.2736518,-0.098151514,-1.3718033
3267.1335,-1.35015,-0.1031339,-1.4532839
3327.636,-1.4188932,-0.10770389,-1.5265971
3388.1384,-1.4828945,-0.11189877,-1.5947932
3448.6409,-1.5408388,-0.11574996,-1.6565887
3509.1434,-1.594068,-0.11929195,-1.71336
3569.6458,-1.6430861,-0.12254877,-1.7656349
3630.1483,-1.6883553,-0.12554377,-1.8138991
3690.6508,-1.7336228,-0.12789855,-1.8615214
3751.1533,-1.7649024,-0.12990657,-1.894809
3811.6557,-1.7909357,-0.1317311,-1.9226668
3872.1582,-1.8148293,-0.13342127,-1.9482506
3932.6607,-1.8374945,-0.13499994,-1.9724945
3993.1631,-1.8592109,-0.13648089,-1.9956918
4053.6656,-1.880591,-0.13786891,-2.0184599
4114.1681,-1.9006132,-0.13917229,-2.0397855
4174.6706,-1.9198182,-0.14040379,-2.060222
4235.173,-1.9384,-0.14157178,-2.0799718
4295.6755,-1.9564363,-0.14268247,-2.0991187
4356.178,-1.9739675,-0.14374093,-2.1177084
4416.6805,-1.9910221,-0.14475147,-2.1357735
4477.1829,-2.0076274,-0.14571787,-2.1533453
4537.6854,-2.0270131,-0.14644563,-2.1734587
4598.1879,-2.0404102,-0.14707447,-2.1874847
4658.6903,-1.7911027,-0.14205477,-1.9331574
4719.1928,-1.5244943,-0.13108078,-1.6555751
4779.6953,-1.3956738,-0.12283635,-1.5185102
4840.1978,-1.2441512,-0.11528097,-1.3594321
4900.7002,-1.0531613,-0.10662285,-1.1597841
4961.2027,-0.85763161,-0.097441167,-0.95507277
5021.7052,-0.67465869,-0.088240159,-0.76289885
5082.2076,-0.51011514,-0.07936203,-0.58947717
5142.7101,-0.36433252,-0.071002927,-0.43533544
5203.2126,-0.23709051,-0.063789356,-0.30087987
5263.7151,-0.13955332,-0.057867231,-0.19742055
5324.2175,-0.056463776,-0.05246938,-0.10893316
5384.72,0.018494626,-0.04750773,-0.029013104
5445.2225,0.086973145,-0.04294257,0.044030575
5505.7249,0.15032063,-0.038760903,0.11155972
5566.2274,0.20749399,-0.034927731,0.17256626
5626.7299,0.25982195,-0.031408534,0.22841341
5687.2324,0.30785888,-0.028177862,0.27968101
5747.7348,0.35196907,-0.025213655,0.32675541
5808.2373,0.3924595,-0.022495748,0.36996376
5868.7398,0.43208157,-0.020329053,0.41175251
5929.2422,0.46015999,-0.018531414,0.44162857
5989.7447,0.48308721,-0.016904842,0.46618237
6050.2471,0.50388029,-0.015403175,0.48847712
