elapsedTime,Q_balance [W],Energy step [Wh],Absorbed energy [Wh]
0,0.21971344,0,0
60.502472,0.24357755,0.0038930902,0.0038930902
121.00494,0.26622825,0.0042839598,0.0081770501
181.50742,0.28779076,0.0046554889,0.012832539
242.00989,0.30833104,0.0050092837,0.017841823
302.51236,0.32808254,0.0053478603,0.023189683
363.01483,0.34616078,0.0056657483,0.028855431
423.5173,0.3628938,0.0059582715,0.034813703
484.01978,0.3792379,0.0062362226,0.041049925
544.52225,0.39381617,0.006496067,0.047545992
605.02472,0.40422475,0.0067060344,0.054252027
665.52719,0.41249476,0.0068629929,0.06111502
726.02966,0.41966749,0.0069927602,0.06810778
786.53214,0.42633108,0.0071090284,0.075216808
847.03461,0.43281258,0.0072194882,0.082436296
907.53708,0.43924701,0.0073280223,0.089764319
968.03955,0.44571565,0.0074364484,0.097200767
1028.542,0.45220097,0.0075453021,0.10474607
1089.0445,0.45860757,0.0076536345,0.1123997
1149.547,0.46493341,0.0077606267,0.12016033
1210.0494,0.47114283,0.007865962,0.12802629
1270.5519,0.47722562,0.0079692549,0.13599555
1331.0544,0.48319315,0.0080705153,0.14406606
1391.5569,0.48906623,0.0081700134,0.15223608
1452.0593,0.49487646,0.0082681896,0.16050427
1512.5618,0.50064817,0.008365514,0.16886978
1573.0643,0.5063886,0.0084622519,0.17733203
1633.5667,0.5121036,0.0085585133,0.18589054
1694.0692,0.51779199,0.0086543374,0.19454488
1754.5717,0.52345153,0.0087496954,0.20329458
1815.0742,0.52907725,0.0088445268,0.2121391
1875.5766,0.53467196,0.0089388135,0.22107792
1936.0791,0.5402313,0.0090325423,0.23011046
1996.5816,0.54574646,0.0091256026,0.23923606
2057.084,0.55120107,0.0092177829,0.24845385
2117.5865,0.55659107,0.0093089115,0.25776276
2178.089,0.56190759,0.0093988797,0.26716164
2238.5915,0.56713749,0.0094875025,0.27664914
2299.0939,0.57227854,0.0095746508,0.28622379
2359.5964,0.57734074,0.00966039,0.29588418
2420.0989,0.58234955,0.0097450179,0.3056292
2480.6013,0.58734048,0.009829047,0.31545824
2541.1038,2.5784406,0.026602442,0.34206069
2601.6063,2.1902762,0.040072105,0.38213279
2662.1088,1.945788,0.034755848,0.41688864
2722.6112,1.6905605,0.030556677,0.44744532
2783.1137,1.4351234,0.0262655,0.47371082
2843.6162,1.2172985,0.022288622,0.49599944
2904.1187,1.0209244,0.018808058,0.5148075
2964.6211,0.84043066,0.015641192,0.53044869
3025.1236,0.67484606,0.012733054,0.54318174
3085.6261,0.52384216,0.010072722,0.55325447
3146.1285,0.38586686,0.0076443951,0.56089886
3206.631,0.27344947,0.005540315,0.56643918
3267.1335,0.18141013,0.0038222403,0.57026142
3327.636,0.098375148,0.0023510696,0.57261249
3388.1384,0.021324445,0.0010058502,0.57361834
3448.6409,-0.048602436,-0.00022922027,0.57338912
3509.1434,-0.11283137,-0.0013565478,0.57203257
3569.6458,-0.17194578,-0.0023930169,0.56963955
3630.1483,-0.22648957,-0.0033481005,0.56629145
3690.6508,-0.27837096,-0.0042424041,0.56204905
3751.1533,-0.31549454,-0.0049903237,0.55705872
3811.6557,-0.34696156,-0.0055666988,0.55149202
3872.1582,-0.37594784,-0.0060746952,0.54541733
3932.6607,-0.40340538,-0.0065489994,0.53886833
3993.1631,-0.4296429,-0.0070002055,0.53186812
4053.6656,-0.45525166,-0.0074358761,0.52443225
4114.1681,-0.47928204,-0.0078529998,0.51657925
4174.6706,-0.50229733,-0.0082483303,0.50833092
4235.173,-0.52451145,-0.0086283985,0.49970252
4295.6755,-0.54601908,-0.0089957977,0.49070672
4356.178,-0.56687588,-0.0093517911,0.48135493
4416.6805,-0.58711947,-0.0096971627,0.47165777
4477.1829,-0.60678929,-0.01003256,0.46162521
4537.6854,-0.62803524,-0.01037638,0.45124883
4598.1879,-0.64313717,-0.010681816,0.44056701
4658.6903,-2.5037426,-0.026443612,0.4141234
4719.1928,-2.1974494,-0.039504685,0.37461871
4779.6953,-2.0334513,-0.035552771,0.33906594
4840.1978,-1.8502549,-0.032635254,0.30643069
4900.7002,-1.6261741,-0.029212854,0.27721784
4961.2027,-1.3979305,-0.025411917,0.25180592
5021.7052,-1.1837596,-0.021694255,0.23011166
5082.2076,-0.99012689,-0.018267431,0.21184423
5142.7101,-0.81760008,-0.015190549,0.19665368
5203.2126,-0.66809702,-0.012484493,0.18416919
5263.7151,-0.55253538,-0.010257122,0.17391207
5324.2175,-0.45292751,-0.0084490264,0.16546304
5384.72,-0.3628042,-0.0068546923,0.15860835
5445.2225,-0.28040325,-0.0054049501,0.1532034
5505.7249,-0.20437261,-0.0040736303,0.14912977
5566.2274,-0.13556665,-0.0028565507,0.14627322
5626.7299,-0.072562584,-0.0017489351,0.14452428
5687.2324,-0.014724602,-0.00073348479,0.1437908
5747.7348,0.038386996,0.00019883796,0.14398964
5808.2373,0.087147686,0.0010548831,0.14504452
5868.7398,0.13290906,0.0018491635,0.14689368
5929.2422,0.16618771,0.0025133464,0.14940703
5989.7447,0.19396789,0.0030264312,0.15243346
6050.2471,0.21932775,0.0034729663,0.15590643
