elapsedTime,QS [W],E_QS [Wh]
0,715.57111,0
60.502472,715.57295,12.026077
121.00494,715.57479,24.052185
181.50742,715.57663,36.078323
242.00989,715.57847,48.104493
302.51236,715.5974,60.130837
363.01483,715.61975,72.157528
423.5173,715.6421,84.184595
484.01978,715.66445,96.212037
544.52225,715.6717,108.23973
605.02472,715.67139,120.26748
665.52719,715.67107,132.29522
726.02966,715.67076,144.32296
786.53214,715.65913,156.3506
847.03461,715.63618,168.37795
907.53708,715.61323,180.40491
968.03955,715.59028,192.43148
1028.542,715.57418,204.45773
1089.0445,715.5718,216.48383
1149.547,715.56943,228.50988
1210.0494,715.56705,240.53589
1270.5519,715.56453,252.56186
1331.0544,715.56133,264.58779
1391.5569,715.55813,276.61366
1452.0593,715.55493,288.63947
1512.5618,715.55173,300.66524
1573.0643,715.54792,312.69094
1633.5667,715.54411,324.71658
1694.0692,715.54031,336.74216
1754.5717,715.5365,348.76767
1815.0742,715.53241,360.79311
1875.5766,715.52825,372.81849
1936.0791,715.5241,384.8438
1996.5816,715.51995,396.86903
2057.084,715.51575,408.8942
2117.5865,715.51154,420.91929
2178.089,715.50732,432.94432
2238.5915,715.5031,444.96927
2299.0939,715.499,456.99416
2359.5964,715.49501,469.01897
2420.0989,715.49102,481.04372
2480.6013,715.48703,493.0684
2541.1038,0,499.08073
2601.6063,0,499.08073
2662.1088,0,499.08073
2722.6112,0,499.08073
2783.1137,0,499.08073
2843.6162,0,499.08073
2904.1187,0,499.08073
2964.6211,0,499.08073
3025.1236,0,499.08073
3085.6261,0,499.08073
3146.1285,0,499.08073
3206.631,0,499.08073
3267.1335,0,499.08073
3327.636,0,499.08073
3388.1384,0,499.08073
3448.6409,0,499.08073
3509.1434,0,499.08073
3569.6458,0,499.08073
3630.1483,0,499.08073
3690.6508,0,499.08073
3751.1533,0,499.08073
3811.6557,0,499.08073
3872.1582,0,499.08073
3932.6607,0,499.08073
3993.1631,0,499.08073
4053.6656,0,499.08073
4114.1681,0,499.08073
4174.6706,0,499.08073
4235.173,0,499.08073
4295.6755,0,499.08073
4356.178,0,499.08073
4416.6805,0,499.08073
4477.1829,0,499.08073
4537.6854,0,499.08073
4598.1879,0,499.08073
4658.6903,715.48506,505.09303
4719.1928,715.48897,517.11768
4779.6953,715.49288,529.1424
4840.1978,715.49699,541.16718
4900.7002,715.50114,553.19203
4961.2027,715.5053,565.21695
5021.7052,715.50945,577.24194
5082.2076,715.51364,589.267
5142.7101,715.51786,601.29213
5203.2126,715.52208,613.31733
5263.7151,715.52629,625.34261
5324.2175,715.5304,637.36795
5384.72,715.53439,649.39336
5445.2225,715.53838,661.41884
5505.7249,715.54237,673.44438
5566.2274,715.5462,685.46999
5626.7299,715.5497,697.49566
5687.2324,715.55319,709.52139
5747.7348,715.55669,721.54718
5808.2373,715.56006,733.57303
5868.7398,715.56282,745.59893
5929.2422,715.56559,757.62488
5989.7447,715.56835,769.65087
6050.2471,715.57111,781.67688
