Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
0,715.57111,954.09481,280.25665,3.3750002,37.071184,0.75,0.45625912,0.29374088
60.502472,715.57295,954.09727,279.47688,3.3750002,38.256762,0.75,0.45707717,0.29292283
121.00494,715.57479,954.09972,278.7112,3.3750002,39.420906,0.75,0.45788043,0.29211957
181.50742,715.57663,954.10217,277.95936,3.3750002,40.56404,0.75,0.45866919,0.29133081
242.00989,715.57847,954.10462,277.22106,3.3750002,41.686597,0.75,0.45944375,0.29055625
302.51236,715.5974,954.12987,276.51468,3.3750002,42.770691,0.75,0.46019178,0.28980822
363.01483,715.61975,954.15967,275.83244,3.3750002,43.820066,0.75,0.46091585,0.28908415
423.5173,715.6421,954.18947,275.17246,3.3750002,44.835562,0.75,0.46161654,0.28838346
484.01978,715.66445,954.21927,274.59605,3.3750002,45.724073,0.75,0.46222961,0.28777039
544.52225,715.6717,954.22893,274.22582,3.3750002,46.290602,0.75,0.46262052,0.28737948
605.02472,715.67139,954.22851,273.86455,3.3750002,46.83911,0.75,0.46299899,0.28700101
665.52719,715.67107,954.2281,273.51532,3.3750002,47.369346,0.75,0.46336485,0.28663515
726.02966,715.67076,954.22768,273.17783,3.3750002,47.881744,0.75,0.4637184,0.2862816
786.53214,715.65913,954.21218,272.84839,3.3750002,48.375346,0.75,0.46405899,0.28594101
847.03461,715.63618,954.18157,272.53224,3.3750002,48.842259,0.75,0.46438116,0.28561884
907.53708,715.61323,954.15097,272.23415,3.3750002,49.281753,0.75,0.46468441,0.28531559
968.03955,715.59028,954.12037,271.95365,3.3750002,49.694552,0.75,0.46496924,0.28503076
1028.542,715.57418,954.09891,271.69308,3.3750002,50.081065,0.75,0.46523594,0.28476406
1089.0445,715.5718,954.09574,271.45725,3.3750002,50.437933,0.75,0.46548217,0.28451783
1149.547,715.56943,954.09257,271.24124,3.3750002,50.764684,0.75,0.46570763,0.28429237
1210.0494,715.56705,954.0894,271.0445,3.3750002,51.062155,0.75,0.46591289,0.28408711
1270.5519,715.56453,954.08605,270.86643,3.3750002,51.331203,0.75,0.46609853,0.28390147
1331.0544,715.56133,954.08178,270.70521,3.3750002,51.574256,0.75,0.46626624,0.28373376
1391.5569,715.55813,954.07751,270.56006,3.3750002,51.792907,0.75,0.46641711,0.28358289
1452.0593,715.55493,954.07324,270.43052,3.3750002,51.987846,0.75,0.46655161,0.28344839
1512.5618,715.55173,954.06897,270.31614,3.3750002,52.159751,0.75,0.46667023,0.28332977
1573.0643,715.54792,954.0639,270.21494,3.3750002,52.311302,0.75,0.4667748,0.2832252
1633.5667,715.54411,954.05882,270.12542,3.3750002,52.445096,0.75,0.46686712,0.28313288
1694.0692,715.54031,954.05374,270.04727,3.3750002,52.561641,0.75,0.46694753,0.28305247
1754.5717,715.5365,954.04867,269.98014,3.3750002,52.661431,0.75,0.46701639,0.28298361
1815.0742,715.53241,954.04321,269.92258,3.3750002,52.746526,0.75,0.4670751,0.2829249
1875.5766,715.52825,954.03767,269.87245,3.3750002,52.820288,0.75,0.467126,0.282874
1936.0791,715.5241,954.03213,269.82953,3.3750002,52.883115,0.75,0.46716935,0.28283065
1996.5816,715.51995,954.0266,269.79359,3.3750002,52.935327,0.75,0.46720538,0.28279462
2057.084,715.51575,954.021,269.76364,3.3750002,52.978424,0.75,0.46723511,0.28276489
