,Time [s],QS_elec [W],Q_load [W],solar_to_load [W],solar_surplus [W],load_deficit [W],P_charge [W],P_discharge [W],P_batt [W],I_charge [A],I_discharge [A],I_batt [A],V_batt [V],V_internal [V],SOC [%],phi [Wh],E_stored [Wh],eta_charge [-],eta_discharge [-],curtailed_solar [W],unserved_load [W],internal_loss [W],conversion_loss [W],battery_heat_generation [W],battery_resistance_factor [-],R_dis_effective [ohm],R_chg_effective [ohm],battery_capacity_factor [-],capacity_effective [Wh],SOC_effective [%],T_batt [degC],charge_derating [-],mode,charge_phase,operating_phase
0,0,277.86419,12.5,12.5,265.36419,0,0,0,0,0,0,0,22.648,22.648,60,26.64,39.96,0.98,0.98,0,0,0,0,0,1,0.1,0.1,1,66.6,60,18.426181,1,initial,none,initial
1,60.502472,277.6729,12.5,12.5,265.1729,0,34.203301,0,-34.203301,1.5,0,-1.5,22.802201,22.652201,60.857429,26.068952,40.531048,0.98,0.98,230.36722,0,0.225,0.69802655,0.225,1,0.1,0.1,1,66.6,60.857429,18.423495,1,charge,CC,charge - CC
2,121.00494,277.50037,12.5,12.5,265.00037,0,34.228514,0,-34.228514,1.5,0,-1.5,22.819009,22.669009,61.715494,25.497481,41.102519,0.98,0.98,230.15958,0,0.225,0.6985411,0.225,1,0.1,0.1,1,66.6,61.715494,18.42097,1,charge,CC,charge - CC
3,181.50742,277.34603,12.5,12.5,264.84603,0,34.253746,0,-34.253746,1.5,0,-1.5,22.835831,22.685831,62.574195,24.925586,41.674414,0.98,0.98,229.9704,0,0.225,0.69905604,0.225,1,0.1,0.1,1,66.6,62.574195,18.418603,1,charge,CC,charge - CC
4,242.00989,277.20935,12.5,12.5,264.70935,0,34.278996,0,-34.278996,1.5,0,-1.5,22.852664,22.702664,63.433534,24.353266,42.246734,0.98,0.98,229.79912,0,0.225,0.69957135,0.225,1,0.1,0.1,1,66.6,63.433534,18.416392,1,charge,CC,charge - CC
5,302.51236,277.08909,12.5,12.5,264.58909,0,34.304266,0,-34.304266,1.5,0,-1.5,22.86951,22.71951,64.293511,23.780522,42.819478,0.98,0.98,229.64487,0,0.225,0.70008705,0.225,1,0.1,0.1,1,66.6,64.293511,18.414333,1,charge,CC,charge - CC
6,363.01483,276.98398,12.5,12.5,264.48398,0,34.329554,0,-34.329554,1.5,0,-1.5,22.886369,22.736369,65.154126,23.207352,43.392648,0.98,0.98,229.50638,0,0.225,0.70060313,0.225,1,0.1,0.1,1,66.6,65.154126,18.412426,1,charge,CC,charge - CC
7,423.5173,276.89357,12.5,12.5,264.39357,0,34.35486,0,-34.35486,1.5,0,-1.5,22.90324,22.75324,66.015379,22.633758,43.966242,0.98,0.98,229.38279,0,0.225,0.7011196,0.225,1,0.1,0.1,1,66.6,66.015379,18.410667,1,charge,CC,charge - CC
8,484.01978,276.81741,12.5,12.5,264.31741,0,34.380186,0,-34.380186,1.5,0,-1.5,22.920124,22.770124,66.877271,22.059737,44.540263,0.98,0.98,229.27366,0,0.225,0.70163645,0.225,1,0.1,0.1,1,66.6,66.877271,18.409054,1,charge,CC,charge - CC
9,544.52225,276.75442,12.5,12.5,264.25442,0,34.40553,0,-34.40553,1.5,0,-1.5,22.93702,22.78702,67.739803,21.485291,45.114709,0.98,0.98,229.17823,0,0.225,0.70215368,0.225,1,0.1,0.1,1,66.6,67.739803,18.407586,1,charge,CC,charge - CC
