Element / term,Case / difference,Tmax [°C],t_Tmax [min],Node_Tmax,Tmin [°C],t_Tmin [min],Node_Tmin,ΔTmax [°C],t_ΔTmax [min],Nodes_ΔTmax,ΔTmin [°C],t_ΔTmin [min],Nodes_ΔTmin
SOLAR_PANEL_1,Nominal_case,62.446544,24.200989,70005,-17.251802,56.468974,72501,8.5172763,25.209363,70005 - 72500,0.3085154,48.401978,70005 - 72501
SOLAR_PANEL_1,Cold_case,56.634255,41.343356,70005,-21.313825,76.636464,72501,10.142092,43.360105,70005 - 72500,0.21775369,91.762082,70004 - 72500
SOLAR_PANEL_1,Nominal_case - Cold_case,Δ(Tmax) = 5.8122887,Δ(t_Tmax) = -17.142367,,Δ(Tmin) = 4.0620231,Δ(t_Tmin) = -20.167491,,Δ(ΔTmax) = -1.624816,Δ(t_ΔTmax) = -18.150742,,Δ(ΔTmin) = 0.090761718,Δ(t_ΔTmin) = -43.360105,
BODY_PANEL,Nominal_case,18.865024,24.200989,10601,5.0544668,67.561094,11002,13.625953,24.200989,10601 - 11002,12.636559,56.468974,10701 - 11002
BODY_PANEL,Cold_case,5.6349379,43.360105,10602,-5.5462535,88.736959,11002,10.993181,43.360105,10602 - 11002,8.9301101,79.661588,10602 - 11002
BODY_PANEL,Nominal_case - Cold_case,Δ(Tmax) = 13.230086,Δ(t_Tmax) = -19.159116,,Δ(Tmin) = 10.60072,Δ(t_Tmin) = -21.175865,,Δ(ΔTmax) = 2.6327718,Δ(t_ΔTmax) = -19.159116,,Δ(ΔTmin) = 3.7064486,Δ(t_ΔTmin) = -23.192614,
OBC_BOX,Nominal_case,13.744987,37.309858,31022,11.298893,56.468974,31011,2.3592793,56.468974,31022 - 31011,1.0726187,90.753708,31023 - 31011
OBC_BOX,Cold_case,0.85292906,56.468974,31022,-1.2835535,76.636464,31011,2.0534782,76.636464,31022 - 31011,0.79753796,15.125618,31022 - 31011
OBC_BOX,Nominal_case - Cold_case,Δ(Tmax) = 12.892058,Δ(t_Tmax) = -19.159116,,Δ(Tmin) = 12.582447,Δ(t_Tmin) = -20.167491,,Δ(ΔTmax) = 0.30580115,Δ(t_ΔTmax) = -20.167491,,Δ(ΔTmin) = 0.27508075,Δ(t_ΔTmin) = 75.62809,
RADIATOR,Nominal_case,0.048351822,70.586217,35504,-7.3746169,56.468974,34002,5.6631167,13.108869,35504 - 34002,5.3148584,70.586217,35504 - 34002
RADIATOR,Cold_case,-10.846884,42.35173,35504,-17.257246,76.636464,34006,4.8818821,52.435476,35504 - 34002,4.5805437,91.762082,35504 - 34008
RADIATOR,Nominal_case - Cold_case,Δ(Tmax) = 10.895236,Δ(t_Tmax) = 28.234487,,Δ(Tmin) = 9.8826292,Δ(t_Tmin) = -20.167491,,Δ(ΔTmax) = 0.78123462,Δ(t_ΔTmax) = -39.326607,,Δ(ΔTmin) = 0.73431478,Δ(t_ΔTmin) = -21.175865,
BATTERY,Nominal_case,21.765997,56.468974,30000,18.254642,65.544345,30005,2.9753994,56.468974,30000 - 30005,0.12167469,8.0669963,30002 - 30004
BATTERY,Cold_case,4.5971755,65.544345,30000,3.4956854,82.686712,30005,0.83875713,77.644839,30000 - 30005,0.06502166,90.753708,30002 - 30004
BATTERY,Nominal_case - Cold_case,Δ(Tmax) = 17.168821,Δ(t_Tmax) = -9.0753708,,Δ(Tmin) = 14.758957,Δ(t_Tmin) = -17.142367,,Δ(ΔTmax) = 2.1366423,Δ(t_ΔTmax) = -21.175865,,Δ(ΔTmin) = 0.05665303,Δ(t_ΔTmin) = -82.686712,
