,RADIATOR-OBC_BOX,RADIATOR-BODY,RADIATOR-BODY_PLATE_MED,RADIATOR-BODY_PANEL,RADIATOR-BODY_PLATE_SUP,RADIATOR-Space,RADIATOR-BODY_PLATE_INF,RADIATOR-MLI,RADIATOR-MLI_PANELS
ΔT [°C],20.805972923970604,25.46445756004874,21.07828179614934,25.252462580555147,18.321601994756975,270.0483518218003,25.46445756004874,65.88742779316932,65.88742779316932
time [s],3388.138427734375,3388.138427734375,3388.138427734375,1875.5766296386719,3388.138427734375,4235.173034667969,3388.138427734375,1452.059326171875,1452.059326171875
T_hot [°C],13.439570595439456,18.09805523151759,13.70470684550298,18.41799723600353,10.948027044110612,0.048351821800284404,18.09805523151759,60.19132895032014,60.19132895032014
T_cold [°C],-7.366402328531149,-7.366402328531149,-7.373574950646362,-6.834465344551619,-7.373574950646362,-270.0,-7.366402328531149,-5.696098842849186,-5.696098842849186
Hot node,31023.0,12001.0,12602.0,10701.0,13600.0,35504.0,12001.0,50900.0,50900.0
Cold node,35506.0,35506.0,35502.0,35502.0,35502.0,99999.0,35506.0,34008.0,34008.0
Hot label,STR_AV_OBC_EXT,STR_BOD_PLI,STR_BOD_PLM,STR_BOD_P_INT,STR_BOD_PLS,STR_AV_RAD_INT,STR_BOD_PLI,STR_MLI_P_INT,STR_MLI_P_INT
Cold label,STR_AV_RAD_INT,STR_AV_RAD_INT,STR_AV_RAD_INT,STR_AV_RAD_INT,STR_AV_RAD_INT,ENVIRONMENT,STR_AV_RAD_INT,STR_AV_RAD_EXT,STR_AV_RAD_EXT
Node pair,35506 - 31023,35506 - 12001,35502 - 12602,35502 - 10701,35502 - 13600,35504 - 99999,35506 - 12001,34008 - 50900,34008 - 50900
Coupling,GR,GR,GR,GR,GR,GR,GR,GR,GR
