,Time [s],QS_elec [W],Q_load [W],solar_to_load [W],solar_surplus [W],load_deficit [W],P_charge [W],P_discharge [W],P_batt [W],I_charge [A],I_discharge [A],I_batt [A],V_batt [V],V_internal [V],SOC [%],phi [Wh],E_stored [Wh],eta_charge [-],eta_discharge [-],curtailed_solar [W],unserved_load [W],internal_loss [W],conversion_loss [W],battery_heat_generation [W],battery_resistance_factor [-],R_dis_effective [ohm],R_chg_effective [ohm],battery_capacity_factor [-],capacity_effective [Wh],SOC_effective [%],T_batt [degC],charge_derating [-],mode,charge_phase,operating_phase
0,0,307.22189,16.499999,16.499999,290.72189,0,0,0,0,0,0,0,22.648,22.648,60,26.64,39.96,0.98,0.98,0,0,0,0,0,1,0.1,0.1,1,66.6,60,37.197736,1,initial,none,initial
1,60.502472,305.58206,16.499999,16.499999,289.08206,0,34.203301,0,-34.203301,1.5,0,-1.5,22.802201,22.652201,60.857429,26.068952,40.531048,0.98,0.98,255.00065,0,0.225,0.69802655,0.225,1,0.1,0.1,1,66.6,60.857429,37.057241,1,charge,CC,charge - CC
2,121.00494,304.03279,16.499999,16.499999,287.5328,0,34.228514,0,-34.228514,1.5,0,-1.5,22.819009,22.669009,61.715494,25.497481,41.102519,0.98,0.98,253.38037,0,0.225,0.6985411,0.225,1,0.1,0.1,1,66.6,61.715494,36.927858,1,charge,CC,charge - CC
3,181.50742,302.57888,16.499999,16.499999,286.07888,0,34.253746,0,-34.253746,1.5,0,-1.5,22.835831,22.685831,62.574195,24.925586,41.674414,0.98,0.98,251.85304,0,0.225,0.69905604,0.225,1,0.1,0.1,1,66.6,62.574195,36.809757,1,charge,CC,charge - CC
4,242.00989,301.2076,16.499999,16.499999,284.7076,0,34.278996,0,-34.278996,1.5,0,-1.5,22.852664,22.702664,63.433534,24.353266,42.246734,0.98,0.98,250.41467,0,0.225,0.69957135,0.225,1,0.1,0.1,1,66.6,63.433534,36.700945,1,charge,CC,charge - CC
5,302.51236,299.91512,16.499999,16.499999,283.41512,0,34.304266,0,-34.304266,1.5,0,-1.5,22.86951,22.71951,64.293511,23.780522,42.819478,0.98,0.98,249.05701,0,0.225,0.70008705,0.225,1,0.1,0.1,1,66.6,64.293511,36.600645,1,charge,CC,charge - CC
6,363.01483,298.83727,16.499999,16.499999,282.33727,0,34.329554,0,-34.329554,1.5,0,-1.5,22.886369,22.736369,65.154126,23.207352,43.392648,0.98,0.98,247.84604,0,0.225,0.70060313,0.225,1,0.1,0.1,1,66.6,65.154126,36.521701,1,charge,CC,charge - CC
7,423.5173,297.93588,16.499999,16.499999,281.43588,0,34.35486,0,-34.35486,1.5,0,-1.5,22.90324,22.75324,66.015379,22.633758,43.966242,0.98,0.98,246.83059,0,0.225,0.7011196,0.225,1,0.1,0.1,1,66.6,66.015379,36.459586,1,charge,CC,charge - CC
8,484.01978,297.07598,16.499999,16.499999,280.57598,0,34.380186,0,-34.380186,1.5,0,-1.5,22.920124,22.770124,66.877271,22.059737,44.540263,0.98,0.98,245.92411,0,0.225,0.70163645,0.225,1,0.1,0.1,1,66.6,66.877271,36.40093,1,charge,CC,charge - CC
9,544.52225,296.26461,16.499999,16.499999,279.76461,0,34.40553,0,-34.40553,1.5,0,-1.5,22.93702,22.78702,67.739803,21.485291,45.114709,0.98,0.98,245.06261,0,0.225,0.70215368,0.225,1,0.1,0.1,1,66.6,67.739803,36.346292,1,charge,CC,charge - CC
10,605.02472,295.48736,16.499999,16.499999,278.98736,0,34.430893,0,-34.430893,1.5,0,-1.5,22.953929,22.803929,68.602975,20.910418,45.689582,0.98,0.98,244.24242,0,0.225,0.70267129,0.225,1,0.1,0.1,1,66.6,68.602975,36.294614,1,charge,CC,charge - CC
11,665.52719,294.74279,16.499999,16.499999,278.24279,0,34.456275,0,-34.456275,1.5,0,-1.5,22.97085,22.82085,69.466788,20.335119,46.264881,0.98,0.98,243.45561,0,0.225,0.70318929,0.225,1,0.1,0.1,1,66.6,69.466788,36.245725,1,charge,CC,charge - CC
12,726.02966,294.3087,16.499999,16.499999,277.8087,0,34.481676,0,-34.481676,1.5,0,-1.5,22.987784,22.837784,70.331241,19.759393,46.840607,0.98,0.98,242.84036,0,0.225,0.70370768,0.225,1,0.1,0.1,1,66.6,70.331241,36.219835,1,charge,CC,charge - CC
13,786.53214,293.8944,16.499999,16.499999,277.39441,0,34.507096,0,-34.507096,1.5,0,-1.5,23.004731,22.854731,71.196336,19.18324,47.41676,0.98,0.98,242.39023,0,0.225,0.70422644,0.225,1,0.1,0.1,1,66.6,71.196336,36.195443,1,charge,CC,charge - CC
14,847.03461,293.48826,16.499999,16.499999,276.98826,0,34.532534,0,-34.532534,1.5,0,-1.5,23.02169,22.87169,72.062073,18.606659,47.993341,0.98,0.98,241.95405,0,0.225,0.7047456,0.225,1,0.1,0.1,1,66.6,72.062073,36.171772,1,charge,CC,charge - CC
15,907.53708,293.08982,16.499999,16.499999,276.58983,0,34.557992,0,-34.557992,1.5,0,-1.5,23.038661,22.888661,72.928452,18.029651,48.570349,0.98,0.98,241.52579,0,0.225,0.70526514,0.225,1,0.1,0.1,1,66.6,72.928452,36.148794,1,charge,CC,charge - CC
16,968.03955,292.69893,16.499999,16.499999,276.19893,0,34.583468,0,-34.583468,1.5,0,-1.5,23.055645,22.905645,73.795474,17.452214,49.147786,0.98,0.98,241.10512,0,0.225,0.70578506,0.225,1,0.1,0.1,1,66.6,73.795474,36.126485,1,charge,CC,charge - CC
17,1028.542,292.31532,16.499999,16.499999,275.81532,0,34.608963,0,-34.608963,1.5,0,-1.5,23.072642,22.922642,74.66314,16.874349,49.725651,0.98,0.98,240.69186,0,0.225,0.70630537,0.225,1,0.1,0.1,1,66.6,74.66314,36.104824,1,charge,CC,charge - CC
18,1089.0445,291.93797,16.499999,16.499999,275.43797,0,34.634477,0,-34.634477,1.5,0,-1.5,23.089651,22.939651,75.531449,16.296055,50.303945,0.98,0.98,240.28534,0,0.225,0.70682607,0.225,1,0.1,0.1,1,66.6,75.531449,36.083792,1,charge,CC,charge - CC
19,1149.547,291.56648,16.499999,16.499999,275.06648,0,34.66001,0,-34.66001,1.5,0,-1.5,23.106673,22.956673,76.400403,15.717332,50.882668,0.98,0.98,239.88487,0,0.225,0.70734715,0.225,1,0.1,0.1,1,66.6,76.400403,36.063369,1,charge,CC,charge - CC
20,1210.0494,291.20071,16.499999,16.499999,274.70071,0,34.685562,0,-34.685562,1.5,0,-1.5,23.123708,22.973708,77.270001,15.138179,51.461821,0.98,0.98,239.49016,0,0.225,0.70786862,0.225,1,0.1,0.1,1,66.6,77.270001,36.043538,1,charge,CC,charge - CC
21,1270.5519,290.84051,16.499999,16.499999,274.34052,0,34.711133,0,-34.711133,1.5,0,-1.5,23.140755,22.990755,78.140245,14.558597,52.041403,0.98,0.98,239.10109,0,0.225,0.70839047,0.225,1,0.1,0.1,1,66.6,78.140245,36.024281,1,charge,CC,charge - CC
22,1331.0544,290.48499,16.499999,16.499999,273.98499,0,34.736723,0,-34.736723,1.5,0,-1.5,23.157815,23.007815,79.011134,13.978585,52.621415,0.98,0.98,238.71712,0,0.225,0.70891272,0.225,1,0.1,0.1,1,66.6,79.011134,36.005583,1,charge,CC,charge - CC
23,1391.5569,290.13374,16.499999,16.499999,273.63374,0,34.762332,0,-34.762332,1.5,0,-1.5,23.174888,23.024888,79.88267,13.398142,53.201858,0.98,0.98,238.3376,0,0.225,0.70943535,0.225,1,0.1,0.1,1,66.6,79.88267,35.987426,1,charge,CC,charge - CC
24,1452.0593,289.78666,16.499999,16.499999,273.28666,0,34.805073,0,-34.805073,1.5,0,-1.5,23.203382,23.053382,80.755284,12.816981,53.783019,0.98,0.98,237.94482,0,0.225,0.71030761,0.225,1,0.1,0.1,1,66.6,80.755284,35.969796,1,charge,CC,charge - CC
25,1512.5618,289.44368,16.499999,16.499999,272.94369,0,34.918238,0,-34.918238,1.5,0,-1.5,23.278825,23.128825,81.630754,12.233918,54.366082,0.98,0.98,237.48432,0,0.225,0.7126171,0.225,1,0.1,0.1,1,66.6,81.630754,35.952676,1,charge,CC,charge - CC
26,1573.0643,289.10471,16.499999,16.499999,272.60471,0,35.038106,0,-35.038106,1.5,0,-1.5,23.358737,23.208737,82.509249,11.64884,54.95116,0.98,0.98,237.02103,0,0.225,0.71506338,0.225,1,0.1,0.1,1,66.6,82.509249,35.936052,1,charge,CC,charge - CC
27,1633.5667,288.76994,16.499999,16.499999,272.26994,0,35.158388,0,-35.158388,1.5,0,-1.5,23.438925,23.288925,83.390779,11.061741,55.538259,0.98,0.98,236.56142,0,0.225,0.71751811,0.225,1,0.1,0.1,1,66.6,83.390779,35.919909,1,charge,CC,charge - CC
28,1694.0692,288.4393,16.499999,16.499999,271.9393,0,35.279085,0,-35.279085,1.5,0,-1.5,23.51939,23.36939,84.275355,10.472614,56.127386,0.98,0.98,236.10555,0,0.225,0.71998133,0.225,1,0.1,0.1,1,66.6,84.275355,35.904233,1,charge,CC,charge - CC
29,1754.5717,288.1127,16.499999,16.499999,271.6127,0,35.400199,0,-35.400199,1.5,0,-1.5,23.600133,23.450133,85.162987,9.8814509,56.718549,0.98,0.98,235.65335,0,0.225,0.72245305,0.225,1,0.1,0.1,1,66.6,85.162987,35.889011,1,charge,CC,charge - CC
30,1815.0742,287.79036,16.499999,16.499999,271.29036,0,34.167653,0,-34.167653,1.4432095,0,-1.4432095,23.675146,23.530825,86.019935,9.3107234,57.289277,0.98,0.98,236.58658,0,0.20839039,0.69729903,0.20839039,1,0.1,0.1,1,66.6,86.019935,35.87423,1,charge,CV,charge - CV
31,1875.5766,287.47315,16.499999,16.499999,270.97315,0,31.353761,0,-31.353761,1.3207659,0,-1.3207659,23.739412,23.607335,86.80673,8.7867176,57.813282,0.98,0.98,239.13812,0,0.17452564,0.63987266,0.17452564,1,0.1,0.1,1,66.6,86.80673,35.859877,1,charge,CV,charge - CV
32,1936.0791,287.16101,16.499999,16.499999,270.66101,0,28.832406,0,-28.832406,1.2115237,0,-1.2115237,23.79877,23.677618,87.530599,8.3046211,58.295379,0.98,0.98,241.39626,0,0.14684553,0.58841645,0.14684553,1,0.1,0.1,1,66.6,87.530599,35.845941,1,charge,CV,charge - CV
33,1996.5816,286.85383,16.499999,16.499999,270.35383,0,26.567626,0,-26.567626,1.1137871,0,-1.1137871,23.853689,23.742311,88.197891,7.8602049,58.739795,0.98,0.98,243.3976,0,0.12410559,0.54219644,0.12410559,1,0.1,0.1,1,66.6,88.197891,35.832409,1,charge,CV,charge - CV
34,2057.084,286.5518,16.499999,16.499999,270.0518,0,24.528466,0,-24.528466,1.0261094,0,-1.0261094,23.904586,23.801975,88.814198,7.4497438,59.150256,0.98,0.98,245.17377,0,0.10533316,0.50058095,0.10533316,1,0.1,0.1,1,66.6,88.814198,35.81927,1,charge,CV,charge - CV
35,2117.5865,286.25633,16.499999,16.499999,269.75633,0,22.688218,0,-22.688218,0.94725245,0,-0.94725245,23.951832,23.857106,89.384461,7.0699487,59.530051,0.98,0.98,246.75282,0,0.089763685,0.46302486,0.089763685,1,0.1,0.1,1,66.6,89.384461,35.806514,1,charge,CV,charge - CV
36,2178.089,285.96746,16.499999,16.499999,269.46746,0,21.023774,0,-21.023774,0.87615297,0,-0.87615297,23.995756,23.908141,89.91305,6.7179087,59.882091,0.98,0.98,248.15906,0,0.076792897,0.42905661,0.076792897,1,0.1,0.1,1,66.6,89.91305,35.79413,1,charge,CV,charge - CV
37,2238.5915,285.68501,16.499999,16.499999,269.18502,0,19.515092,0,-19.515092,0.81189513,0,-0.81189513,24.036655,23.955465,90.403842,6.3910415,60.208958,0.98,0.98,249.41288,0,0.065940701,0.39826719,0.065940701,1,0.1,0.1,1,66.6,90.403842,35.782107,1,charge,CV,charge - CV
38,2299.0939,285.40904,16.499999,16.499999,268.90905,0,18.144747,0,-18.144747,0.75368768,0,-0.75368768,24.074793,23.999424,90.860283,6.0870515,60.512948,0.98,0.98,250.53198,0,0.056823699,0.37030096,0.056823699,1,0.1,0.1,1,66.6,90.860283,35.770436,1,charge,CV,charge - CV
39,2359.5964,285.14133,16.499999,16.499999,268.64133,0,16.897547,0,-16.897547,0.70084492,0,-0.70084492,24.110406,24.040322,91.285446,5.803893,60.796107,0.98,0.98,251.53279,0,0.049134208,0.3448479,0.049134208,1,0.1,0.1,1,66.6,91.285446,35.759108,1,charge,CV,charge - CV
40,2420.0989,284.8821,16.499999,16.499999,268.3821,0,15.760219,0,-15.760219,0.65277097,0,-0.65277097,24.143708,24.078431,91.682073,5.5397393,61.060261,0.98,0.98,252.42986,0,0.042624138,0.32163713,0.042624138,1,0.1,0.1,1,66.6,91.682073,35.748112,1,charge,CV,charge - CV
41,2480.6013,284.63112,16.499999,16.499999,268.13112,0,14.721136,0,-14.721136,0.60894651,0,-0.60894651,24.17489,24.113996,92.052619,5.2929557,61.307044,0.98,0.98,253.23504,0,0.037092531,0.30043135,0.037092531,1,0.1,0.1,1,66.6,92.052619,35.737441,1,charge,CV,charge - CV
42,2541.1038,284.38823,16.499999,16.499999,267.88823,0,13.770089,0,-13.770089,0.56891776,0,-0.56891776,24.204125,24.147233,92.399285,5.0620764,61.537924,0.98,0.98,253.95856,0,0.032375891,0.28102222,0.032375891,1,0.1,0.1,1,66.6,92.399285,35.727086,1,charge,CV,charge - CV
43,2601.6063,284.15492,16.499999,16.499999,267.65492,0,12.898093,0,-12.898093,0.53228711,0,-0.53228711,24.231568,24.178339,92.724048,4.8457842,61.754216,0.98,0.98,254.61025,0,0.028340634,0.26322639,0.028340634,1,0.1,0.1,1,66.6,92.724048,35.717038,1,charge,CV,charge - CV
44,2662.1088,283.93164,16.499999,16.499999,267.43164,0,12.097224,0,-12.097224,0.49870534,0,-0.49870534,24.257359,24.207489,93.028689,4.6428934,61.957107,0.98,0.98,255.19918,0,0.024877165,0.24688213,0.024877165,1,0.1,0.1,1,66.6,93.028689,35.70729,1,charge,CV,charge - CV
45,2722.6112,283.71811,16.499999,16.499999,267.21811,0,11.360478,0,-11.360478,0.46786492,0,-0.46786492,24.281628,24.234841,93.314813,4.4523344,62.147666,0.98,0.98,255.73255,0,0.021895219,0.2318465,0.021895219,1,0.1,0.1,1,66.6,93.314813,35.697834,1,charge,CV,charge - CV
46,2783.1137,283.51403,16.499999,16.499999,267.01403,0,10.681649,0,-10.681649,0.43949442,0,-0.43949442,24.304488,24.260539,93.583873,4.2731407,62.326859,0.98,0.98,256.21643,0,0.019320164,0.21799284,0.019320164,1,0.1,0.1,1,66.6,93.583873,35.688663,1,charge,CV,charge - CV
47,2843.6162,283.32015,16.499999,16.499999,266.82015,0,10.055228,0,-10.055228,0.4133537,0,-0.4133537,24.326046,24.284711,93.837181,4.1044373,62.495563,0.98,0.98,256.65666,0,0.017090065,0.20520874,0.017090065,1,0.1,0.1,1,66.6,93.837181,35.67977,1,charge,CV,charge - CV
48,2904.1187,283.137,16.499999,16.499999,266.637,0,9.4763155,0,-9.4763155,0.38922983,0,-0.38922983,24.346397,24.307474,94.07593,3.9454308,62.654569,0.98,0.98,257.05887,0,0.015153344,0.19339419,0.015153344,1,0.1,0.1,1,66.6,94.07593,35.671147,1,charge,CV,charge - CV
49,2964.6211,282.96424,16.499999,16.499999,266.46424,0,8.9405429,0,-8.9405429,0.36693361,0,-0.36693361,24.365628,24.328935,94.301201,3.7954002,62.8046,0.98,0.98,257.42762,0,0.0134669,0.18246006,0.0134669,1,0.1,0.1,1,66.6,94.301201,35.662789,1,charge,CV,charge - CV
50,3025.1236,282.80158,16.499999,16.499999,266.30158,0,8.4440103,0,-8.4440103,0.34629654,0,-0.34629654,24.383819,24.349189,94.51398,3.6536897,62.94631,0.98,0.98,257.76657,0,0.011994594,0.17232674,0.011994594,1,0.1,0.1,1,66.6,94.51398,35.654689,1,charge,CV,charge - CV
51,3085.6261,282.64905,16.499999,16.499999,266.14905,0,7.9832279,0,-7.9832279,0.32716828,0,-0.32716828,24.401042,24.368326,94.715163,3.5197015,63.080298,0.98,0.98,258.07916,0,0.010706029,0.16292302,0.010706029,1,0.1,0.1,1,66.6,94.715163,35.64684,1,charge,CV,charge - CV
