Time [s],QS [W],QS_i [W],QS_elec [W],Q_load [W],T_eta [degC],alpha [-],alpha_th [-],eta [-]
0,-19.126285,-25.501713,-29.357728,-5.4999986,31.594351,0,0.021800102,-0.021800102
60.502472,-19.130676,-25.507568,-27.909179,-5.4999986,29.54022,0,0.020382752,-0.020382752
121.00494,-19.135066,-25.513422,-26.532444,-5.4999986,27.587479,0,0.019035361,-0.019035361
181.50742,-19.139457,-25.519276,-25.232858,-5.4999986,25.743729,0,0.017763173,-0.017763173
242.00989,-19.143848,-25.52513,-23.998251,-5.4999986,23.991694,0,0.016554269,-0.016554269
302.51236,-19.149046,-25.532061,-22.826025,-5.4999986,22.327281,0,0.015405824,-0.015405824
363.01483,-19.154406,-25.539208,-21.853287,-5.4999986,20.945748,0,0.014452566,-0.014452566
423.5173,-19.159766,-25.546355,-21.042311,-5.4999986,19.793579,0,0.013657569,-0.013657569
484.01978,-19.165126,-25.553501,-20.258575,-5.4999986,18.67961,0,0.012888931,-0.012888931
544.52225,-19.170911,-25.561215,-19.510188,-5.4999986,17.615174,0,0.01215447,-0.01215447
605.02472,-19.17691,-25.569213,-18.784902,-5.4999986,16.583056,0,0.011442309,-0.011442309
665.52719,-19.182908,-25.57721,-18.081696,-5.4999986,15.581937,0,0.010751536,-0.010751536
726.02966,-19.188906,-25.585208,-17.678703,-5.4999986,15.007099,0,0.010354898,-0.010354898
786.53214,-19.195019,-25.593358,-17.286033,-5.4999986,14.446527,0,0.0099681035,-0.0099681035
847.03461,-19.201246,-25.601661,-16.895067,-5.4999986,13.888082,0,0.0095827769,-0.0095827769
907.53708,-19.207474,-25.609965,-16.506031,-5.4999986,13.332172,0,0.009199199,-0.009199199
968.03955,-19.213701,-25.618268,-16.118936,-5.4999986,12.77882,0,0.0088173858,-0.0088173858
1028.542,-19.219864,-25.626485,-15.733983,-5.4999986,12.228363,0,0.0084375701,-0.0084375701
1089.0445,-19.225896,-25.634528,-15.353862,-5.4999986,11.684792,0,0.0080625067,-0.0080625067
1149.547,-19.231929,-25.642571,-14.979359,-5.4999986,11.1492,0,0.0076929482,-0.0076929482
1210.0494,-19.237961,-25.650615,-14.610365,-5.4999986,10.621432,0,0.0073287878,-0.0073287878
1270.5519,-19.243902,-25.658536,-14.246759,-5.4999986,10.101368,0,0.0069699437,-0.0069699437
1331.0544,-19.249387,-25.66585,-13.889391,-5.4999986,9.5904732,0,0.0066174265,-0.0066174265
1391.5569,-19.254873,-25.673164,-13.538864,-5.4999986,9.0893985,0,0.006271685,-0.006271685
1452.0593,-19.260358,-25.680477,-13.195017,-5.4999986,8.5979102,0,0.005932558,-0.005932558
1512.5618,-764.86852,-1019.8247,-289.44368,-5.4999986,2.1627834,0,0.0014923206,-0.0014923206
1573.0643,-764.87012,-1019.8268,-289.10471,-5.4999986,-4.1259834,0,-0.0028469286,0.0028469286
1633.5667,-764.87171,-1019.8289,-288.76994,-5.4999986,-9.9334826,0,-0.006854103,0.006854103
1694.0692,-764.8733,-1019.8311,-288.4393,-5.4999986,-15.315991,0,-0.010568034,0.010568034
